Id,Lable,Weight
829,sloppy,42
830,analyze,42
831,bing,42
832,stun,42
833,share,42
834,voided,42
835,adapt,42
836,manage,42
837,conversation,42
838,perfect,42
839,worth,42
840,strange,42
841,blown,42
842,fill,42
843,east,42
844,crime,42
845,later,42
846,land,42
847,zac,42
848,roster,42
849,carry,42
850,paper,42
851,glass,42
852,enjoy,42
853,reality,42
854,visualize,42
855,journalistic,42
856,process,42
857,cool,42
858,blister,42
859,nose,42
860,wish,42
861,turd,42
862,excite,42
863,three,42
864,aube,42
865,garage,42
866,volunteer,42
867,brock,42
868,toi,42
869,grab,42
870,blame,42
871,leaky,42
872,easily,42
873,disaster,42
874,decision,42
875,shea,42
876,finish,42
877,gloom,42
878,grit,42
879,cavalry,42
880,realistic,42
881,difficult,42
882,sneaky,42
883,decently,42
884,fear,42
885,burn,42
886,slate,42
887,column,42
888,shatter,42
889,weirdly,42
890,ow,42
891,h,42
892,blow,42
893,aka,42
894,head,42
895,likely,42
896,poor,42
897,holy,42
898,gut,42
899,miller,42
900,colin,42
901,accomplishment,42
902,salvo,42
903,range,42
904,weapon,42
905,pop,42
906,justify,42
907,context,42
908,violence,42
909,rule,42
910,soccer,42
911,dig,42
912,seat,42
913,driver,42
914,doom,42
915,rocky,42
916,ist,42
917,middle,42
918,squeak,42
919,quit,42
920,sadly,42
921,contract,41
922,remain,41
923,operate,41
924,sever,41
925,define,41
926,essential,41
927,ahead,41
928,day,41
929,missile,41
930,former,41
931,claim,41
932,sole,41
933,associate,41
934,german,41
935,pay,41
936,alcohol,41
937,tobacco,41
938,fast,41
939,consumer,41
940,union,41
941,cut,41
942,indirect,41
943,establishment,41
944,clearer,41
945,business,41
946,imposition,41
947,freedom,41
948,suffering,41
949,legendary,41
950,impressive,41
951,commitment,41
952,clock,41
953,focus,41
954,mission,41
955,suffer,41
956,priority,41
957,individual,41
958,promise,41
959,power,41
960,treat,41
961,urgent,41
962,greatly,41
963,problem,41
964,view,41
965,pow,41
966,military,41
967,son,41
968,main,41
969,activity,41
970,bug,41
971,hammer,41
972,force,41
973,flee,41
974,reduce,41
975,entire,41
976,rubble,41
977,apartment,41
978,maternity,41
979,aviation,41
980,ground,41
981,spirit,41
982,thanks,41
983,kindness,41
984,quality,41
985,clothing,41
986,workplace,41
987,production,41
988,care,41
989,tuned,41
990,distribute,41
991,review,41
992,carefully,41
993,touch,41
994,camera,41
995,daily,41
996,ess,41
997,ballistic,41
998,protective,41
999,contribution,41
1000,receive,41
1001,minus,41
1002,credit,41
1003,card,41
1004,salary,41
1005,nonprofit,41
1006,office,41
1007,rent,41
1008,dollar,41
1009,toward,41
1010,merchandise,41
1011,used,41
1012,rehabilitation,41
1013,therapy,41
1014,opportunity,41
1015,amazing,41
1016,fantastic,41
1017,red,41
1018,shockingly,41
1019,trounce,41
1020,travis,41
1021,tread,41
1022,tear,41
1023,st,41
1024,hospital,41
1025,throw,41
1026,generous,41
1027,standing,41
1028,wine,41
1029,electricity,41
1030,sang,41
1031,loudly,41
1032,puzzled,41
1033,fled,41
1034,cloud,41
1035,retreat,41
1036,stole,41
1037,leader,41
1038,kim,41
1039,un,41
1040,collaboration,41
1041,minister,41
1042,increase,41
1043,security,41
1044,council,41
1045,spokesman,41
1046,state,41
1047,seek,41
1048,bolster,41
1049,industrial,41
1050,correspondence,41
1051,surface,41
1052,administration,41
1053,repeatedly,41
1054,reliance,41
1055,running,41
1056,stop,41
1057,produce,41
1058,offense,41
1059,tied,41
1060,skid,41
1061,rock,41
1062,allegation,41
1063,involve,41
1064,whilst,41
1065,evidence,41
1066,actual,41
1067,reveal,41
1068,us,41
