Source,Target,Weight
know,government,1218
know,absolutely,420
know,justification,420
know,addition,420
know,ask,798
know,add,462
know,tag,672
know,go,1722
know,link,2604
know,graphic,420
know,footage,798
know,anything,420
know,consider,840
know,upsetting,420
know,combat,378
know,dead,378
know,people,798
know,submission,420
know,front,756
know,page,1260
know,status,420
know,major,1260
know,e,462
know,g,462
know,city,882
know,x,420
know,still,588
know,hold,420
know,would,1386
know,attack,420
know,dot,378
know,may,420
know,even,504
know,approve,672
know,site,1722
know,like,546
know,tass,420
know,archive,798
know,similar,420
know,u,630
know,script,210
know,notify,420
know,moderation,420
know,team,1218
know,explain,420
know,person,420
know,organization,756
know,promote,378
know,new,840
know,non,378
know,profit,378
know,love,378
know,pour,378
know,civilian,378
know,limit,378
know,links,378
know,prevent,378
know,scam,378
know,promotion,378
know,project,378
know,official,378
know,meta,420
know,previous,672
know,feedback,840
know,send,420
know,via,840
know,want,420
know,donate,672
know,check,420
know,account,420
know,national,420
know,bank,420
know,set,420
know,available,420
know,border,420
know,visit,420
know,today,420
know,turn,840
know,hub,420
know,every,420
know,foreign,420
know,citizen,420
know,able,420
know,necessary,420
know,act,420
know,critical,420
know,bomb,420
know,shelter,420
know,leave,420
know,country,504
know,evacuate,420
know,dangerous,420
know,region,420
know,interest,420
know,map,420
know,institute,420
know,reliable,420
know,medium,840
know,coalition,420
know,fact,504
know,surround,420
know,confuse,420
know,source,420
know,fake,420
know,defense,420
know,ministry,420
know,refugee,420
know,tracker,462
know,chrome,420
know,good,546
know,alternative,420
know,translate,420
know,obey,420
know,request,420
know,refrain,420
know,troop,420
know,hatred,210
know,group,210
know,special,126
know,one,84
know,year,84
know,ago,42
know,show,42
know,army,84
know,capital,42
know,never,84
know,fell,84
know,infamous,42
know,line,84
know,first,126
know,find,84
know,nothing,42
know,gore,84
know,devastate,42
know,besiege,42
know,saw,42
know,hell,42
know,call,42
know,home,84
know,horror,42
know,well,168
know,overlook,42
know,battle,42
know,li,42
know,since,126
know,break,84
know,violence,42
know,anyone,126
know,provide,42
know,context,42
know,justify,42
know,side,84
know,conflict,42
know,knowledge,42
know,temporarily,42
know,disable,42
know,direct,42
know,self,42
know,text,42
know,relate,42
know,mere,42
know,announcement,42
know,diplomatic,42
know,stance,42
know,mind,42
know,swift,84
know,offer,42
know,translation,42
know,l,42
know,limited,42
know,nice,42
know,see,42
know,offensive,42
know,outburst,42
know,goal,294
know,ice,42
know,cake,42
know,let,504
know,keep,42
know,bit,126
know,solid,84
know,start,252
know,think,42
know,far,42
know,advanced,42
know,say,42
know,stink,42
know,look,126
know,lens,42
know,best,42
know,overall,42
know,player,42
know,guy,42
know,replace,42
know,brown,42
know,significantly,42
know,less,42
know,full,42
know,strength,42
know,way,42
know,fight,42
know,take,42
know,guess,588
know,final,420
know,score,420
know,indicate,252
know,win,252
know,assume,252
know,pick,252
know,scorer,504
know,game,924
know,winning,252
know,total,210
know,combine,210
know,user,252
know,correct,504
know,great,252
know,disastrous,252
know,wealth,252
know,ancient,252
know,mariner,252
know,something,336
know,give,252
know,wrong,252
know,value,252
